Date,Temperature,W_speed,W_direction,Humidity,Tianjin,Weihai,Seoul
20150628,25.4,2.6,270,61.8,75,50,23
20150629,25.7,2.8,270,61.8,68,42,25
20150630,24.4,1.7,270,70,25,52,31
20150701,23.7,3.8,250,66.3,55,59,34
20150702,23.7,4,230,64.5,26,60,48
20150703,23.3,3,270,62.6,48,45,40
20150704,24.1,2.2,50,55.8,41,57,32
20150705,24.2,2.3,270,57.4,50,49,34
20150706,25.3,2.2,270,54.3,62,52,30
20150707,25.6,2,50,52.1,57,51,34
20150708,23.4,4,70,69.8,63,47,11
20150709,26.5,2.9,70,61.3,61,43,11
20150710,29.2,1.9,70,60.9,60,39,20
20150711,30.4,2.1,50,60.3,111,48,28
20150712,24.8,4,70,94.1,104,35,11
20150713,23.1,5.2,230,90.8,97,71,27
20150714,26.1,3.5,230,72.4,95,63,62
20150715,27.9,2.9,70,58.8,109,72,48
20150716,24.7,5,70,51.3,74,65,12
20150717,23.6,3.6,70,49.8,53,47,11
20150718,24.3,2.2,70,63.5,62,53,29
20150719,25.1,1.8,50,77.4,75,46,24
20150720,27.5,2.4,70,71.4,59,48,20
20150721,27,1.6,270,81.6,80,49,24
20150722,27.7,1.8,270,76.9,56,38,34
20150723,26.9,2.1,230,81,69,41,28
20150724,24.7,2,230,96.9,72,44,14
20150725,25,3.2,230,95.1,64,49,18
20150726,26,2.6,230,85.5,88,77,17
20150727,26.2,2.3,290,86,101,69,30
20150728,27.7,2.7,250,74.4,82,54,34
20150729,26.7,2.6,200,82.9,146,72,36
20150730,28.6,3.5,230,76.4,52,53,66
20150731,27.9,2.7,200,74.3,50,44,56
20150801,28.2,3.1,230,72.8,61,50,48
20150802,26.5,2.7,230,84.3,77,63,34
20150803,27.9,3.8,200,71.5,60,69,30
20150804,27.5,4.5,230,73.3,48,59,26
20150805,28.6,3.7,230,67,74,61,32
20150806,29.3,2,270,64.5,79,57,34
20150807,28.9,1.4,50,71.3,72,55,42
