Date,Temperature,W_speed,W_direction,Humidity,Tianjin,Weihai,Seoul
2015-03-06,2.9,2.3,12,37.8,3,2,1
2015-03-07,4.2,2.3,12,45.5,3,2,2
2015-03-08,7.7,1.8,2,42.5,3,2,2
2015-03-09,2.2,5.4,13,43.4,2,2,2
2015-03-10,-3.4,5.9,13,30.6,2,2,1
2015-03-11,0.4,4.5,11,45.1,2,2,1
2015-03-12,2.1,4,11,41,2,2,1
2015-03-13,5.6,3,12,45.4,2,2,1
2015-03-14,4.3,2.3,11,31.4,2,2,1
2015-03-15,5.5,2.2,12,42,3,3,1
2015-03-16,9.8,2,12,44.4,4,2,2
2015-03-17,10.7,1.8,2,51.9,3,2,3
2015-03-18,10.7,4,3,61.5,2,2,2
2015-03-19,12.4,2.5,3,50.9,4,3,2
2015-03-20,13.4,2.5,12,32.5,4,4,2
2015-03-21,11.7,2.7,11,31,3,4,4
2015-03-22,8.3,4.2,12,33.3,3,5,3
2015-03-23,4.6,4.2,13,24.3,2,2,2
2015-03-24,5.4,2.6,11,32.8,3,2,1
2015-03-25,6.5,2.5,12,45.9,2,2,1
2015-03-26,7.9,3.1,12,47.5,2,2,1
2015-03-27,9.1,2.6,12,50.5,2,2,2
2015-03-28,9.7,2.8,12,35,6,2,1
2015-03-29,10.5,2.5,12,61.9,6,2,2
2015-03-30,13.2,2.6,12,57.4,4,2,3
2015-03-31,12.9,2.2,3,80.6,2,2,2
2015-04-01,12.9,4.1,3,67.9,2,2,1
2015-04-02,14.8,5,3,70.5,2,1,1
2015-04-03,10.6,2.8,12,83.4,2,2,1
2015-04-04,13.5,4.3,3,48,2,2,1
2015-04-05,10.5,2.5,3,75.1,2,2,1
2015-04-06,10.3,2.7,13,55.8,1,2,2
2015-04-07,8.4,2.6,2,59.5,2,2,1
2015-04-08,8.3,2.9,3,52.5,2,2,1
2015-04-09,9.6,2.3,2,43,2,2,2
2015-04-10,11.6,2.8,12,40.5,3,2,2
2015-04-11,13.5,2.5,12,39.3,3,2,2
2015-04-12,14.9,2.9,3,30.6,2,2,1
2015-04-13,12,5.9,3,53.9,2,2,1
2015-04-14,6.9,2.7,2,89.9,2,2,1
2015-04-15,11.1,2.9,11,72,4,2,1
2015-04-16,9.9,3.6,11,69.5,4,2,2
2015-04-17,10.5,3.7,10,45.4,2,2,2
2015-04-18,15.2,1.9,3,31.9,3,2,2
2015-04-19,14.5,3.7,3,74.8,2,2,1
